epoch,step,train_loss
0,49,-0.5341891646385193
1,99,-0.8889486193656921
2,149,-0.9105505347251892
3,199,-0.9409429430961609
4,249,-0.9692771434783936
5,299,-0.9634347558021545
6,349,-0.9922028183937073
7,399,-0.9628045558929443
8,449,-1.00883948802948
9,499,-1.056999683380127
10,549,-1.05342435836792
11,599,-1.0778676271438599
12,649,-1.0807883739471436
13,699,-1.060765027999878
14,749,-1.085009217262268
15,799,-1.0830326080322266
16,849,-1.0893967151641846
17,899,-1.0567008256912231
18,949,-1.1050487756729126
19,999,-1.0595837831497192
20,1049,-1.0877894163131714
21,1099,-1.0741854906082153
22,1149,-1.1013903617858887
23,1199,-1.1377558708190918
24,1249,-1.1127220392227173
25,1299,-1.0798709392547607
26,1349,-1.1713141202926636
27,1399,-1.1329113245010376
28,1449,-1.1197445392608643
29,1499,-1.1398746967315674
30,1549,-1.1436183452606201
31,1599,-1.120490312576294
32,1649,-1.11769437789917
33,1699,-1.1639584302902222
34,1749,-1.1510512828826904
35,1799,-1.1856513023376465
36,1849,-1.1681100130081177
37,1899,-1.2056913375854492
38,1949,-1.2053642272949219
39,1999,-1.1887286901474
40,2049,-1.167099952697754
41,2099,-1.2320538759231567
42,2149,-1.2128322124481201
43,2199,-1.1867403984069824
44,2249,-1.1996562480926514
45,2299,-1.2073218822479248
46,2349,-1.248295783996582
47,2399,-1.2375431060791016
48,2449,-1.208143711090088
49,2499,-1.2224853038787842
50,2549,-1.2327549457550049
51,2599,-1.2415881156921387
52,2649,-1.2310489416122437
53,2699,-1.275367021560669
54,2749,-1.1832728385925293
55,2799,-1.1944899559020996
56,2849,-1.2837826013565063
57,2899,-1.2258530855178833
58,2949,-1.2501730918884277
59,2999,-1.2673516273498535
60,3049,-1.2619447708129883
61,3099,-1.2561731338500977
62,3149,-1.3091219663619995
63,3199,-1.2571567296981812
64,3249,-1.303961992263794
65,3299,-1.2777785062789917
66,3349,-1.2257755994796753
67,3399,-1.2740496397018433
68,3449,-1.2627736330032349
69,3499,-1.3057173490524292
70,3549,-1.318048119544983
71,3599,-1.2780001163482666
72,3649,-1.306229829788208
73,3699,-1.2885667085647583
74,3749,-1.320558786392212
75,3799,-1.283452033996582
76,3849,-1.2918827533721924
77,3899,-1.3136143684387207
78,3949,-1.2986570596694946
79,3999,-1.3463449478149414
80,4049,-1.335282564163208
81,4099,-1.2848187685012817
82,4149,-1.2917231321334839
83,4199,-1.3016154766082764
84,4249,-1.3184388875961304
85,4299,-1.2976622581481934
86,4349,-1.3229707479476929
87,4399,-1.3100810050964355
88,4449,-1.324124813079834
89,4499,-1.3476811647415161
90,4549,-1.3335943222045898
91,4599,-1.2968506813049316
92,4649,-1.3410502672195435
93,4699,-1.3581770658493042
94,4749,-1.3508931398391724
95,4799,-1.3788728713989258
96,4849,-1.3725701570510864
97,4899,-1.3662362098693848
98,4949,-1.323946475982666
99,4999,-1.4071831703186035
