epoch,step,train_loss
0,49,-0.5511854290962219
1,99,-0.909050464630127
2,149,-0.9167369604110718
3,199,-0.9313594102859497
4,249,-0.9212298393249512
5,299,-0.9551473259925842
6,349,-0.9873619675636292
7,399,-0.9900379180908203
8,449,-1.0027092695236206
9,499,-1.0141825675964355
10,549,-0.9899774789810181
11,599,-1.043114423751831
12,649,-1.1199567317962646
13,699,-1.0969605445861816
14,749,-1.037112832069397
15,799,-1.04348886013031
16,849,-1.0588299036026
17,899,-1.1010938882827759
18,949,-1.1395001411437988
19,999,-1.0715572834014893
20,1049,-1.1242451667785645
21,1099,-1.0984233617782593
22,1149,-1.0719082355499268
23,1199,-1.1183092594146729
24,1249,-1.1149541139602661
25,1299,-1.1311591863632202
26,1349,-1.146191120147705
27,1399,-1.1034706830978394
28,1449,-1.1239938735961914
29,1499,-1.170335292816162
30,1549,-1.141811490058899
31,1599,-1.1378748416900635
32,1649,-1.1486412286758423
33,1699,-1.1967355012893677
34,1749,-1.1866916418075562
35,1799,-1.1891502141952515
36,1849,-1.202551007270813
37,1899,-1.195701003074646
38,1949,-1.1732288599014282
39,1999,-1.153009295463562
40,2049,-1.1915158033370972
41,2099,-1.1976878643035889
42,2149,-1.2027338743209839
43,2199,-1.216670036315918
44,2249,-1.196020245552063
45,2299,-1.2022509574890137
46,2349,-1.2179791927337646
47,2399,-1.2030168771743774
48,2449,-1.2030750513076782
49,2499,-1.229620099067688
50,2549,-1.222191333770752
51,2599,-1.2230753898620605
52,2649,-1.2269604206085205
53,2699,-1.2660222053527832
54,2749,-1.2554235458374023
55,2799,-1.2522379159927368
56,2849,-1.2546107769012451
57,2899,-1.2167365550994873
58,2949,-1.2753664255142212
59,2999,-1.2031878232955933
60,3049,-1.2374132871627808
61,3099,-1.238930344581604
62,3149,-1.2523140907287598
63,3199,-1.265591025352478
64,3249,-1.2555760145187378
65,3299,-1.3024733066558838
66,3349,-1.2905855178833008
67,3399,-1.270208477973938
68,3449,-1.3166660070419312
69,3499,-1.2967153787612915
70,3549,-1.3015899658203125
71,3599,-1.2651476860046387
72,3649,-1.3528560400009155
73,3699,-1.305031418800354
74,3749,-1.2924699783325195
75,3799,-1.3009761571884155
76,3849,-1.3002629280090332
77,3899,-1.3347773551940918
78,3949,-1.3317809104919434
79,3999,-1.3126552104949951
80,4049,-1.3522332906723022
81,4099,-1.3575204610824585
82,4149,-1.2882472276687622
83,4199,-1.3537728786468506
84,4249,-1.3716641664505005
85,4299,-1.3121113777160645
86,4349,-1.3612959384918213
87,4399,-1.2992042303085327
88,4449,-1.3680124282836914
89,4499,-1.3781541585922241
90,4549,-1.3295692205429077
91,4599,-1.3577263355255127
92,4649,-1.343837022781372
93,4699,-1.345192551612854
94,4749,-1.364377498626709
95,4799,-1.3651015758514404
96,4849,-1.3673672676086426
97,4899,-1.377465009689331
98,4949,-1.3540939092636108
99,4999,-1.381870150566101
