epoch,step,train_loss
0,49,-0.21544256806373596
1,99,-0.5397492051124573
2,149,-0.6068233251571655
3,199,-0.6674854159355164
4,249,-0.689119279384613
5,299,-0.6849217414855957
6,349,-0.7144185900688171
7,399,-0.8221440315246582
8,449,-0.7765743732452393
9,499,-0.7831456661224365
10,549,-0.7986822724342346
11,599,-0.8741984367370605
12,649,-0.8674864172935486
13,699,-0.8587855696678162
14,749,-0.8725005984306335
15,799,-0.8649412393569946
16,849,-0.9143990874290466
17,899,-0.9428945183753967
18,949,-0.9204340577125549
19,999,-0.9661902785301208
20,1049,-0.9380244612693787
21,1099,-0.9903097748756409
22,1149,-1.0234109163284302
23,1199,-1.0111709833145142
24,1249,-0.9884931445121765
25,1299,-1.0078896284103394
26,1349,-1.035884976387024
27,1399,-1.0719670057296753
28,1449,-1.0513925552368164
29,1499,-1.0562512874603271
30,1549,-1.076677680015564
31,1599,-1.1132855415344238
32,1649,-1.0685759782791138
33,1699,-1.0875931978225708
34,1749,-1.119451642036438
35,1799,-1.111295461654663
36,1849,-1.1396552324295044
37,1899,-1.0961040258407593
38,1949,-1.1138826608657837
39,1999,-1.1546357870101929
40,2049,-1.1233973503112793
41,2099,-1.1656094789505005
42,2149,-1.1746947765350342
43,2199,-1.1717363595962524
44,2249,-1.1450340747833252
45,2299,-1.1314254999160767
46,2349,-1.2061030864715576
47,2399,-1.1649422645568848
48,2449,-1.1544541120529175
49,2499,-1.172945499420166
50,2549,-1.1946439743041992
51,2599,-1.173885464668274
52,2649,-1.1828747987747192
53,2699,-1.2095394134521484
54,2749,-1.1838178634643555
55,2799,-1.2215949296951294
56,2849,-1.2294259071350098
57,2899,-1.2168291807174683
58,2949,-1.208933711051941
59,2999,-1.221676230430603
60,3049,-1.2295222282409668
61,3099,-1.2046306133270264
62,3149,-1.2580589056015015
63,3199,-1.2523701190948486
64,3249,-1.2556248903274536
65,3299,-1.2257541418075562
66,3349,-1.2150335311889648
67,3399,-1.2632346153259277
68,3449,-1.2833601236343384
69,3499,-1.2559688091278076
70,3549,-1.2749024629592896
71,3599,-1.218651533126831
72,3649,-1.3014695644378662
73,3699,-1.2357710599899292
74,3749,-1.2528928518295288
75,3799,-1.2808432579040527
76,3849,-1.264849066734314
77,3899,-1.270053744316101
78,3949,-1.2552722692489624
79,3999,-1.298130989074707
80,4049,-1.2971291542053223
81,4099,-1.314042329788208
82,4149,-1.270239233970642
83,4199,-1.2760930061340332
84,4249,-1.3032418489456177
85,4299,-1.310766339302063
86,4349,-1.3003140687942505
87,4399,-1.3062494993209839
88,4449,-1.2855502367019653
89,4499,-1.3095860481262207
90,4549,-1.305345058441162
91,4599,-1.3160946369171143
92,4649,-1.3522578477859497
93,4699,-1.3389602899551392
94,4749,-1.3555258512496948
95,4799,-1.3278557062149048
96,4849,-1.347007155418396
97,4899,-1.3114769458770752
98,4949,-1.3280127048492432
99,4999,-1.3262885808944702
