epoch,step,train_loss
0,49,-0.7050601243972778
1,99,-0.9378389716148376
2,149,-1.0732907056808472
3,199,-1.1142092943191528
4,249,-1.2231392860412598
5,299,-1.1216682195663452
6,349,-1.0767022371292114
7,399,-1.10431969165802
8,449,-1.0676190853118896
9,499,-1.2772057056427002
10,549,-1.1696698665618896
11,599,-1.1404354572296143
12,649,-1.21304190158844
13,699,-1.196984052658081
14,749,-1.2090457677841187
15,799,-1.1777987480163574
16,849,-1.1644271612167358
17,899,-1.1493417024612427
