epoch,step,train_loss
0,49,-0.5155032873153687
1,99,-0.8389073014259338
2,149,-0.906495213508606
3,199,-0.9430719614028931
4,249,-0.9878817200660706
5,299,-0.9776370525360107
6,349,-1.0488362312316895
7,399,-1.0033022165298462
8,449,-1.0469691753387451
9,499,-1.0270212888717651
10,549,-1.0319689512252808
11,599,-1.047317624092102
12,649,-1.1320425271987915
13,699,-1.1212153434753418
14,749,-1.0984210968017578
15,799,-1.1248635053634644
16,849,-1.1241799592971802
17,899,-1.1265647411346436
18,949,-1.1525704860687256
19,999,-1.1565196514129639
20,1049,-1.1738585233688354
21,1099,-1.1878271102905273
22,1149,-1.0662307739257812
23,1199,-1.1547212600708008
24,1249,-1.1513566970825195
25,1299,-1.1963884830474854
26,1349,-1.1742228269577026
27,1399,-1.1956336498260498
28,1449,-1.225816011428833
29,1499,-1.2121260166168213
30,1549,-1.2125223875045776
31,1599,-1.2169743776321411
32,1649,-1.2296870946884155
33,1699,-1.2305527925491333
34,1749,-1.2788773775100708
35,1799,-1.2351130247116089
36,1849,-1.2193325757980347
37,1899,-1.2544729709625244
38,1949,-1.2263197898864746
39,1999,-1.2980406284332275
40,2049,-1.2698365449905396
41,2099,-1.2906286716461182
42,2149,-1.3009892702102661
43,2199,-1.2937121391296387
44,2249,-1.2724872827529907
45,2299,-1.2908592224121094
46,2349,-1.3098487854003906
47,2399,-1.2996739149093628
48,2449,-1.3240357637405396
49,2499,-1.2983717918395996
50,2549,-1.3105915784835815
51,2599,-1.3273571729660034
52,2649,-1.3537018299102783
53,2699,-1.394953727722168
54,2749,-1.3321282863616943
55,2799,-1.3383517265319824
56,2849,-1.367516040802002
57,2899,-1.3748425245285034
58,2949,-1.3226704597473145
59,2999,-1.381772756576538
60,3049,-1.3812223672866821
61,3099,-1.3621292114257812
62,3149,-1.3676780462265015
63,3199,-1.366196870803833
64,3249,-1.3877934217453003
65,3299,-1.3448033332824707
66,3349,-1.37327241897583
67,3399,-1.4018744230270386
68,3449,-1.3852784633636475
69,3499,-1.3985644578933716
70,3549,-1.375046968460083
71,3599,-1.405937671661377
72,3649,-1.4212216138839722
73,3699,-1.4108614921569824
74,3749,-1.423659086227417
75,3799,-1.4231990575790405
76,3849,-1.4607206583023071
77,3899,-1.446138858795166
78,3949,-1.4176766872406006
79,3999,-1.4438490867614746
80,4049,-1.439902901649475
81,4099,-1.42427659034729
82,4149,-1.4189233779907227
83,4199,-1.434221625328064
84,4249,-1.4125449657440186
85,4299,-1.4299908876419067
86,4349,-1.4727282524108887
87,4399,-1.462679386138916
88,4449,-1.4516488313674927
89,4499,-1.4656213521957397
90,4549,-1.4578585624694824
91,4599,-1.4762800931930542
92,4649,-1.4829806089401245
93,4699,-1.4990441799163818
94,4749,-1.4739668369293213
95,4799,-1.5133017301559448
96,4849,-1.519775390625
97,4899,-1.4885197877883911
98,4949,-1.501448392868042
99,4999,-1.4776290655136108
